p,p,Tie
s,p,Player 1 Win
s,r,Player 1 Lose
s,r,Player 1 Lose
r,r,Tie
s,s,Tie
p,s,Player 1 Lose
s,p,Player 1 Win
p,r,Player 1 Win
s,p,Player 1 Win
p,s,Player 1 Lose
r,p,Player 1 Lose
r,p,Player 1 Lose
s,p,Player 1 Win
p,s,Player 1 Lose
s,p,Player 1 Win
p,s,Player 1 Lose
p,s,Player 1 Lose
r,s,Player 1 Win
r,p,Player 1 Lose
p,s,Player 1 Lose
p,s,Player 1 Lose
r,p,Player 1 Lose
r,r,Tie
p,p,Tie
r,s,Player 1 Win
s,r,Player 1 Lose
p,r,Player 1 Win
r,s,Player 1 Win
r,s,Player 1 Win
p,r,Player 1 Win
r,s,Player 1 Win
s,r,Player 1 Lose
r,p,Player 1 Lose
p,p,Tie
s,p,Player 1 Win
r,s,Player 1 Win
s,s,Tie
s,s,Tie
r,p,Player 1 Lose
s,s,Tie
p,r,Player 1 Win
r,r,Tie
s,p,Player 1 Win
r,s,Player 1 Win
s,p,Player 1 Win
r,r,Tie
s,r,Player 1 Lose
r,r,Tie
s,p,Player 1 Win
r,p,Player 1 Lose
p,r,Player 1 Win
p,r,Player 1 Win
p,s,Player 1 Lose
r,r,Tie
p,s,Player 1 Lose
p,r,Player 1 Win
s,p,Player 1 Win
r,s,Player 1 Win
r,s,Player 1 Win
s,r,Player 1 Lose
p,s,Player 1 Lose
r,r,Tie
s,s,Tie
r,s,Player 1 Win
s,s,Tie
p,r,Player 1 Win
s,p,Player 1 Win
r,p,Player 1 Lose
p,r,Player 1 Win
s,s,Tie
r,s,Player 1 Win
p,s,Player 1 Lose
r,p,Player 1 Lose
r,s,Player 1 Win
s,r,Player 1 Lose
r,r,Tie
p,p,Tie
s,s,Tie
p,p,Tie
r,r,Tie
p,r,Player 1 Win
s,p,Player 1 Win
p,p,Tie
p,p,Tie
p,r,Player 1 Win
p,r,Player 1 Win
p,p,Tie
r,r,Tie
s,p,Player 1 Win
r,s,Player 1 Win
s,p,Player 1 Win
p,r,Player 1 Win
r,r,Tie
r,s,Player 1 Win
s,r,Player 1 Lose
r,s,Player 1 Win
s,p,Player 1 Win
r,r,Tie
p,p,Tie